width,height,crop,class,fname,img_path,x1,y1,x2,y2,id,integer_label
640,640,Tomato,Tomato Late Blight,e701b2d9-d9ef-49dd-a9b2-067ac10dff12.jpg,data/detector/train/Tomato/e701b2d9-d9ef-49dd-a9b2-067ac10dff12.jpg,191.42496,306.8542,256.16083,391.2765,0,16
640,640,Corn,Corn Healthy,ee11488a-d7c4-4426-898b-0153fe55d82b.jpg,data/detector/train/Corn/ee11488a-d7c4-4426-898b-0153fe55d82b.jpg,370.76172,459.11493,457.5262,595.264,1,3
640,640,Corn,Corn Common Rust,8c38b101-19ed-4353-b518-63e1128fc5b7.jpg,data/detector/train/Corn/8c38b101-19ed-4353-b518-63e1128fc5b7.jpg,167.16748,134.74731,214.3625,330.7657,2,2
640,640,Corn,Corn Streak,627ce1e3-0354-4713-9f12-3d2db183e3e0.jpg,data/detector/train/Corn/627ce1e3-0354-4713-9f12-3d2db183e3e0.jpg,517.21704,73.61801,535.5021,302.75104,3,4
640,640,Pepper,Pepper Leaf Curl,fe203180-5056-479c-abe4-e9d4c613dc01.jpg,data/detector/train/Pepper/fe203180-5056-479c-abe4-e9d4c613dc01.jpg,149.65358,178.65503,225.32716,296.8891,4,6
640,640,Tomato,Tomato Septoria,e1a3c820-6fd0-465c-a9f3-6f79508df9d0.jpg,data/detector/train/Tomato/e1a3c820-6fd0-465c-a9f3-6f79508df9d0.jpg,197.5345,196.25,224.34265,241.99536,5,19
640,640,Corn,Corn Healthy,cf91d1d0-217e-469c-85ca-7e1205586b06.jpg,data/detector/train/Corn/cf91d1d0-217e-469c-85ca-7e1205586b06.jpg,136.73328,490.52066,232.88765,563.0475,6,3
640,640,Pepper,Pepper Bacterial Spot,6d526f93-a6f7-4bc2-b410-aeb22adb4057.jpg,data/detector/train/Pepper/6d526f93-a6f7-4bc2-b410-aeb22adb4057.jpg,303.7735,228.23688,318.68396,243.46658,7,9
640,640,Tomato,Tomato Early Blight,9554155a-bb7d-46fe-b945-199eae21d509.jpg,data/detector/train/Tomato/9554155a-bb7d-46fe-b945-199eae21d509.jpg,256.4519,404.73447,272.56952,422.26956,8,17
640,640,Corn,Corn Cercospora Leaf Spot,fc2ea9f0-88b4-4cdb-97a3-e40b8a6d98a2.jpg,data/detector/train/Corn/fc2ea9f0-88b4-4cdb-97a3-e40b8a6d98a2.jpg,238.42253,591.4241,252.39435,607.44916,9,1
640,640,Tomato,Tomato Late Blight,ea9841e4-91b4-4b9c-8425-dbfe5934b5f0.jpg,data/detector/train/Tomato/ea9841e4-91b4-4b9c-8425-dbfe5934b5f0.jpg,277.10052,106.43736,317.13782,133.19672,10,16
640,640,Corn,Corn Cercospora Leaf Spot,db2822d6-3df3-4594-845b-ebe7e91b6b14.jpg,data/detector/train/Corn/db2822d6-3df3-4594-845b-ebe7e91b6b14.jpg,397.7739,386.9402,416.96164,421.20792,11,1
640,640,Tomato,Tomato Healthy,88e831e9-41e9-42d9-ba76-07963e501c78.jpg,data/detector/train/Tomato/88e831e9-41e9-42d9-ba76-07963e501c78.jpg,25.018784,358.8953,137.87001,488.96042,12,22
640,640,Pepper,Pepper Septoria,7282bde6-645d-43e3-964a-d4674d85fb03.jpg,data/detector/train/Pepper/7282bde6-645d-43e3-964a-d4674d85fb03.jpg,403.55188,308.25153,463.6664,361.88876,13,13
640,640,Pepper,Pepper Leaf Curl,6d70c266-771e-495e-bca4-8cf9494f4afc.jpg,data/detector/train/Pepper/6d70c266-771e-495e-bca4-8cf9494f4afc.jpg,158.44049,244.72578,218.6402,310.7934,14,6
640,640,Corn,Corn Cercospora Leaf Spot,8b44d5d0-8b82-466e-ac58-4dd8aa7a0ab4.jpg,data/detector/train/Corn/8b44d5d0-8b82-466e-ac58-4dd8aa7a0ab4.jpg,123.50104,402.31238,137.61543,421.9142,15,1
640,640,Pepper,Pepper Leaf Mosaic,760811e3-d513-47cf-b8b8-0b0e6c5dd2e7.jpg,data/detector/train/Pepper/760811e3-d513-47cf-b8b8-0b0e6c5dd2e7.jpg,423.04315,331.2274,439.21527,350.3967,16,10
640,640,Tomato,Tomato Septoria,549ae269-8244-4028-a425-380dc60a9043.jpg,data/detector/train/Tomato/549ae269-8244-4028-a425-380dc60a9043.jpg,260.97296,328.81512,303.65515,410.42084,17,19
640,640,Pepper,Pepper Septoria,7f4fd8ae-5b35-4955-868a-8498c0e12569.jpg,data/detector/train/Pepper/7f4fd8ae-5b35-4955-868a-8498c0e12569.jpg,270.33435,31.503006,354.985,99.92735,18,13
640,640,Tomato,Tomato Healthy,0b9abe79-9e11-4629-8abd-f717f598823c.jpg,data/detector/train/Tomato/0b9abe79-9e11-4629-8abd-f717f598823c.jpg,255.37958,414.48758,407.71912,597.1817,19,22
